# Simulated random data file for batch processing using aboveground biomasss data
# timestamp: 2021-03-31 15:52:12
# ISR
# ------------------------

"varX","varY"
"Young",97.5760921087058
"Old",188.208979600264
"Old",329.146782303883
"Middle",177.028107804657
"Old",656.853275303274
"Old",92.1469722394708
"Young",6.45980529511919
"Young",65.9148622465017
"Middle",133.305615582235
"Young",236.504962530338
"Young",25.3317370842679
"Young",15.1302116782223
"Old",13.7323325121153
"Middle",879.766802371236
"Old",70.945856983618
"Middle",626.677643834797
"Young",82.3659526965483
"Middle",209.714068672212
"Middle",116.064306307138
"Middle",159.866873636904
"Old",23.3148588569659
"Middle",8.97825209612978
"Young",187.198337512421
"Young",259.501018794372
"Young",7.63956548865964
"Young",85.8185082418509
"Old",564.736722382926
"Middle",544.710014216362
"Middle",1.74670730872412
"Young",436.29158147919
"Old",20.5405765153934
"Young",77.3762765915779
"Middle",359.724701086208
"Old",142.762563872986
"Young",0.523901158119262
"Middle",159.061470383253
"Young",102.150557865162
"Middle",224.067025040553
"Young",161.66683192268
"Old",782.634193467988
"Middle",614.17845984533
"Young",351.699892831096
"Middle",61.7861522411483
"Old",796.869552382988
"Old",50.0101813377814
"Middle",0.0978499219756088
"Middle",64.9524950362041
"Middle",112.154841947899
"Old",163.986760465687
"Middle",175.561898831897
"Old",46.2242491908661
"Middle",322.712176097673
"Young",7.07695005770411
"Old",32.5214452421373
"Middle",463.828307885416
"Old",0.240168947292036
"Middle",0.243091463150905
"Old",74.7694874347203
"Old",110.071846647914
"Old",15.5956409072408
"Young",79.6482240741565
"Young",4.9589654847735
"Middle",12.0114448071379
"Old",130.695801180562
"Middle",68.3901229316656
"Young",28.0463910828168
"Middle",764.85950235655
"Middle",12.1201508614476
"Middle",87.5629440188449
"Middle",264.908373837245
"Young",41.9000970089869
"Young",17.0102975428748
"Middle",164.460329748751
"Middle",71.5955415213008
"Middle",6.36807702045156
"Old",99.4943971441902
"Middle",23.3795903363603
"Middle",17.3017989257694
"Middle",44.5864745759964
"Old",13.5996034230482
"Young",76.721858335299
"Middle",77.6831990900209
"Young",131.79199654832
"Old",13.3304181980277
"Old",4.43608081571913
"Middle",5.58890770181291
"Old",69.7310987989649
"Old",73.1051345417992
"Middle",1.8222850810233
"Old",132.628747816736
"Old",60.4155627246887
"Middle",1.26425756093147
"Middle",221.895889535565
"Young",0.205844059797099
"Middle",154.65403635671
"Old",122.79079912931
"Middle",78.3226061944699
"Old",160.361074077909
"Young",64.5444189198646
"Middle",193.364588520253
"Young",496.592511082176
"Old",24.0495168076952
"Middle",837.350806202993
"Middle",57.9522775130801
"Young",284.7178470419
"Middle",39.1262003626685
"Middle",390.591927249464
"Young",36.7656508851904
"Old",332.389567417074
"Middle",19.5137767675266
"Middle",153.578241380368
"Young",7.29361669966361
"Old",9.71550567024968
"Middle",22.9368298298731
"Young",10.8757121509623
"Middle",47.8775363491501
"Young",145.909186972554
"Young",24.092291424038
"Old",10.3724271367527
"Old",1.58994885030058
"Middle",285.914271492954
"Middle",683.782422845096
"Young",63.4029583305094
"Young",37.9128639353334
"Middle",2.65940086737208
"Old",16.8695363187222
"Young",134.610944340913
"Young",11.8516677981634
"Middle",262.912410015606
"Old",542.081907861541
"Old",19.8451481504118
"Old",834.374684962501
"Middle",96.7364374116517
"Young",89.0948200820531
"Middle",18.8423023265973
"Young",438.118841085505
"Old",83.7180407806517
"Young",388.111651480284
"Middle",957.621483264569
"Young",0.846885459659286
"Middle",51.3072259037723
"Old",22.7340050538932
"Old",71.6846102839114
"Old",13.7499112263313
"Young",485.258767642532
"Young",13.3955263492247
"Middle",9.47935202677996
"Middle",360.994857854574
"Old",192.89272608637
"Middle",46.7272244322924
"Middle",528.138510307689
"Young",113.912916154048
"Middle",138.131366681427
"Middle",24.2567249170222
"Middle",0.136037149968343
"Old",51.3501982888027
"Middle",28.6227305596276
"Old",206.036743278686
"Middle",125.619793742993
"Middle",38.2511672131738
"Old",0.442983357425283
"Middle",35.7270936463683
"Young",53.6843078978555
"Middle",299.814804206012
"Young",45.9489440871044
"Old",0.694738240303966
"Young",17.7043963516899
"Old",170.992740148275
"Middle",172.549480556146
"Old",61.5807524090942
"Young",37.48931316579
"Young",29.7504366345482
"Middle",554.805826383536
"Young",161.784556455691
"Old",29.0136993719865
"Old",11.7902796708111
"Middle",29.9216083059178
"Young",137.940001184878
"Old",40.9334413318457
"Young",127.945627308587
"Middle",17.1781815327258
"Young",0.920590607183012
"Young",1.02055153956783
"Old",0.192124472955241
"Old",136.177699498459
"Young",2.61949767237414
"Old",263.660865330276
