# Simulated random data file for batch processing using aboveground biomasss data
# timestamp: 2021-03-31 15:52:11
# ISR
# ------------------------

"varX","varY"
"Young",57.9267577465913
"Young",110.314536148328
"Old",80.9581034999777
"Young",3.80918225148009
"Middle",80.0258631163995
"Young",18.7799651566033
"Old",209.545992067453
"Old",152.493614345734
"Middle",47.2686429937658
"Middle",0.0239286201718092
"Old",110.346867244892
"Middle",1.23091578087193
"Young",207.543578807177
"Old",35.849289400673
"Young",245.294574402788
"Middle",26.7401981210035
"Young",74.7303363039778
"Young",181.402708192219
"Young",21.0123903416046
"Young",55.9206344486603
"Young",1.38181612855486
"Middle",257.789878002777
"Old",91.6751136715217
"Old",809.188698671318
"Young",119.640098572369
"Middle",119.499577362257
"Young",106.628163301924
"Old",2.69039097031934
"Young",44.7385666664886
"Old",70.5182567860629
"Young",96.1595103861561
"Old",344.230546193659
"Old",43.0563430132816
"Old",591.157024098514
"Old",190.845657982755
"Old",1.93686190197716
"Old",28.9067504988546
"Young",101.510811103908
"Middle",209.020608565856
"Middle",11.1474101065208
"Young",292.978083082476
"Old",5.2048072842655
"Old",31.4543558743793
"Young",126.469114222117
"Old",155.014987229173
"Middle",613.095119444926
"Middle",47.5670486365595
"Old",237.144435487303
"Middle",1.39169251300603
"Middle",44.0179798023127
"Old",621.834902977361
"Old",32.7379216658575
"Young",406.617555389622
"Old",47.7559060643239
"Old",1104.42000184463
"Middle",182.150716314093
"Young",14.1392710415526
"Middle",17.0699805427486
"Young",757.006290990183
"Old",7.36863818342384
"Old",162.784722618547
"Young",5.41340232371226
"Middle",113.379552093382
"Young",658.334831479263
"Young",43.5474962734682
"Old",209.673827455174
"Old",270.272937414356
"Young",17.3567622358855
"Old",20.2586245222287
"Old",4.756271050988
"Middle",340.143976974584
"Middle",301.133645456697
"Middle",127.690776931711
"Young",137.842343679379
"Old",879.451617419255
"Young",0.0293747808989382
"Middle",116.955635035877
"Old",87.5738827213997
"Middle",237.057169272159
"Young",235.111482318414
"Old",17.7012154735931
"Middle",0.346326853496774
"Young",254.790117219088
"Middle",123.939107579046
"Young",29.9360946120303
"Middle",0.477572262353423
"Middle",296.678559350001
"Middle",42.1139413197028
"Old",0.544558671093764
"Old",84.1035098143532
"Old",702.448834278571
"Young",12.3401863740366
"Middle",0.661885460953932
"Old",0.624144395425685
"Young",142.822870521303
"Old",656.840754137848
"Middle",91.7652041761464
"Middle",1.2537988172299
"Young",66.5904628288885
"Young",241.973304980352
"Young",0.0100207658944073
"Middle",0.111309997761013
"Old",37.1851985101669
"Middle",268.92052434967
